libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,libcell_delay_fixed_load
BUF_X2,-1,4256000,-1,-1,-1,-1
BUF_X32,-1,52136000,-1,-1,-1,-1
BUF_X4,-1,7448000,-1,-1,-1,-1
BUF_X8,-1,13832000,-1,-1,-1,-1
CLKBUF_X1,-1,3192000,-1,-1,-1,-1
CLKBUF_X2,-1,4256000,-1,-1,-1,-1
CLKBUF_X3,-1,5320000,-1,-1,-1,-1
CLKGATETST_X1,-1,15960000,-1,-1,-1,-1
CLKGATETST_X2,-1,17024000,-1,-1,-1,-1
CLKGATETST_X4,-1,21280000,-1,-1,-1,-1
CLKGATETST_X8,-1,30856000,-1,-1,-1,-1
CLKGATE_X1,-1,13832000,-1,-1,-1,-1
CLKGATE_X2,-1,14896000,-1,-1,-1,-1
CLKGATE_X4,-1,18088000,-1,-1,-1,-1
CLKGATE_X8,-1,27664000,-1,-1,-1,-1
DFFRS_X1,-1,25536000,-1,-1,-1,-1
DFFRS_X2,-1,27664000,-1,-1,-1,-1
DFFR_X1,-1,21280000,-1,-1,-1,-1
DFFR_X2,-1,23408000,-1,-1,-1,-1
DFFS_X1,-1,21280000,-1,-1,-1,-1
DFFS_X2,-1,22344000,-1,-1,-1,-1
DFF_X1,-1,18088000,-1,-1,-1,-1
DFF_X2,-1,20216000,-1,-1,-1,-1
DLH_X1,-1,10640000,-1,-1,-1,-1
DLH_X2,-1,11704000,-1,-1,-1,-1
DLL_X1,-1,10640000,-1,-1,-1,-1
DLL_X2,-1,11704000,-1,-1,-1,-1
FA_X1,-1,17024000,-1,-1,-1,-1
TAPCELL_X1,-1,1064000,-1,-1,-1,-1
FILLCELL_X1,-1,1064000,-1,-1,-1,-1
FILLCELL_X16,-1,17024000,-1,-1,-1,-1
FILLCELL_X2,-1,2128000,-1,-1,-1,-1
FILLCELL_X32,-1,34048000,-1,-1,-1,-1
FILLCELL_X4,-1,4256000,-1,-1,-1,-1
FILLCELL_X8,-1,8512000,-1,-1,-1,-1
HA_X1,-1,10640000,-1,-1,-1,-1
INV_X1,-1,2128000,-1,-1,-1,-1
INV_X16,-1,18088000,-1,-1,-1,-1
INV_X2,-1,3192000,-1,-1,-1,-1
INV_X32,-1,35112000,-1,-1,-1,-1
INV_X4,-1,5320000,-1,-1,-1,-1
INV_X8,-1,9576000,-1,-1,-1,-1
LOGIC0_X1,-1,2128000,-1,-1,-1,-1
LOGIC1_X1,-1,2128000,-1,-1,-1,-1
MUX2_X1,-1,7448000,-1,-1,-1,-1
MUX2_X2,-1,9576000,-1,-1,-1,-1
NAND2_X1,-1,3192000,-1,-1,-1,-1
NAND2_X2,-1,5320000,-1,-1,-1,-1
NAND2_X4,-1,9576000,-1,-1,-1,-1
NAND3_X1,-1,4256000,-1,-1,-1,-1
NAND3_X2,-1,7448000,-1,-1,-1,-1
NAND3_X4,-1,13832000,-1,-1,-1,-1
NAND4_X1,-1,5320000,-1,-1,-1,-1
NAND4_X2,-1,9576000,-1,-1,-1,-1
NAND4_X4,-1,19152000,-1,-1,-1,-1
NOR2_X1,-1,3192000,-1,-1,-1,-1
NOR2_X2,-1,5320000,-1,-1,-1,-1
NOR2_X4,-1,9576000,-1,-1,-1,-1
NOR3_X1,-1,4256000,-1,-1,-1,-1
NOR3_X2,-1,7448000,-1,-1,-1,-1
NOR3_X4,-1,14896000,-1,-1,-1,-1
NOR4_X1,-1,5320000,-1,-1,-1,-1
NOR4_X2,-1,9576000,-1,-1,-1,-1
NOR4_X4,-1,19152000,-1,-1,-1,-1
OAI211_X1,-1,5320000,-1,-1,-1,-1
OAI211_X2,-1,9576000,-1,-1,-1,-1
OAI211_X4,-1,18088000,-1,-1,-1,-1
OAI21_X1,-1,4256000,-1,-1,-1,-1
OAI21_X2,-1,7448000,-1,-1,-1,-1
OAI21_X4,-1,13832000,-1,-1,-1,-1
OAI221_X1,-1,6384000,-1,-1,-1,-1
OAI221_X2,-1,11704000,-1,-1,-1,-1
OAI221_X4,-1,13832000,-1,-1,-1,-1
OAI222_X1,-1,8512000,-1,-1,-1,-1
OAI222_X2,-1,14896000,-1,-1,-1,-1
OAI222_X4,-1,14896000,-1,-1,-1,-1
OAI22_X1,-1,5320000,-1,-1,-1,-1
OAI22_X2,-1,9576000,-1,-1,-1,-1
OAI22_X4,-1,18088000,-1,-1,-1,-1
OAI33_X1,-1,7448000,-1,-1,-1,-1
OR2_X1,-1,4256000,-1,-1,-1,-1
OR2_X2,-1,5320000,-1,-1,-1,-1
OR2_X4,-1,9576000,-1,-1,-1,-1
OR3_X1,-1,5320000,-1,-1,-1,-1
OR3_X2,-1,6384000,-1,-1,-1,-1
OR3_X4,-1,11704000,-1,-1,-1,-1
OR4_X1,-1,6384000,-1,-1,-1,-1
OR4_X2,-1,7448000,-1,-1,-1,-1
OR4_X4,-1,13832000,-1,-1,-1,-1
SDFFRS_X1,-1,30856000,-1,-1,-1,-1
SDFFRS_X2,-1,32984000,-1,-1,-1,-1
SDFFR_X1,-1,26600000,-1,-1,-1,-1
SDFFR_X2,-1,27664000,-1,-1,-1,-1
SDFFS_X1,-1,26600000,-1,-1,-1,-1
SDFFS_X2,-1,28728000,-1,-1,-1,-1
SDFF_X1,-1,24472000,-1,-1,-1,-1
SDFF_X2,-1,25536000,-1,-1,-1,-1
TBUF_X1,-1,8512000,-1,-1,-1,-1
TBUF_X16,-1,27664000,-1,-1,-1,-1
TBUF_X2,-1,9576000,-1,-1,-1,-1
TBUF_X4,-1,11704000,-1,-1,-1,-1
TBUF_X8,-1,19152000,-1,-1,-1,-1
TINV_X1,-1,4256000,-1,-1,-1,-1
TLAT_X1,-1,13832000,-1,-1,-1,-1
XNOR2_X1,-1,6384000,-1,-1,-1,-1
XNOR2_X2,-1,10640000,-1,-1,-1,-1
XOR2_X1,-1,6384000,-1,-1,-1,-1
XOR2_X2,-1,9576000,-1,-1,-1,-1
fakeram45_64x32,-1,4962496000,-1,-1,-1,-1
fakeram45_32x64,-1,7018144000,-1,-1,-1,-1
